Date,Close
6/17/2011,55.66
6/24/2011,55.94
7/1/2011,57.41
7/8/2011,57.78
7/15/2011,56.8
7/22/2011,58.93
7/29/2011,56.44
8/5/2011,56.15
8/12/2011,55.85
8/19/2011,55.12
8/26/2011,57.29
9/2/2011,57.21
9/9/2011,56.56
9/16/2011,59.42
9/23/2011,59.08
9/30/2011,59.24
10/7/2011,58.99
10/14/2011,60.04
10/21/2011,60.26
10/28/2011,57.45
11/4/2011,57.61
11/11/2011,56.99
11/18/2011,56.38
11/25/2011,55.36
12/2/2011,57.84
12/9/2011,59.3
12/16/2011,59.4
12/23/2011,61
12/30/2011,61.78
1/6/2012,60.69
1/13/2012,61.48
1/20/2012,61.54
1/27/2012,61.24
2/3/2012,61.16
2/10/2012,59.55
2/17/2012,60.86
2/24/2012,61.11
3/2/2012,61.33
3/9/2012,59.49
3/16/2012,60.14
3/23/2012,60.52
3/30/2012,61.33
4/5/2012,60.66
4/13/2012,61.69
4/20/2012,63.15
4/27/2012,66.75
5/4/2012,66.89
5/11/2012,68.46
5/18/2012,67.41
5/25/2012,67.72
6/1/2012,65.9
6/8/2012,67.57
6/15/2012,69.49
6/22/2012,69.5
6/29/2012,72.03
7/6/2012,72.24
7/13/2012,72.54
7/20/2012,71.26
7/27/2012,72.17
8/3/2012,72.17
8/10/2012,72.23
8/17/2012,71.92
8/24/2012,72.61
8/31/2012,71.82
9/7/2012,72.32
9/14/2012,70.09
9/21/2012,71.68
9/28/2012,70.89
10/5/2012,71.49
10/12/2012,69.53
10/19/2012,70.33
10/26/2012,69.33
11/2/2012,69.49
11/9/2012,70.35
11/16/2012,71.74
11/23/2012,72.4
11/30/2012,73.27
12/7/2012,72.27
12/14/2012,74.02
12/21/2012,73.37
12/28/2012,71.44
1/4/2013,74.54
1/11/2013,76.12
1/18/2013,78.28
1/25/2013,77.85
2/1/2013,80.14
2/8/2013,80.21
2/15/2013,80.93
2/22/2013,81.23
3/1/2013,83.45
3/8/2013,84.32
3/15/2013,83.9
3/22/2013,85.91
3/28/2013,87.53
4/5/2013,85.44
4/12/2013,86.52
4/19/2013,90.38
4/26/2013,87.57
5/3/2013,89.56
5/10/2013,87.9
5/17/2013,90.1
5/24/2013,89.25
5/31/2013,89.11
6/7/2013,89.48
6/14/2013,89.15
6/21/2013,86.66
6/28/2013,89.28
7/5/2013,90.02
7/12/2013,91.69
7/19/2013,92.67
7/26/2013,94.46
8/2/2013,97.23
8/9/2013,97.55
8/16/2013,95.17
8/23/2013,95.47
8/30/2013,91.95
9/6/2013,90.74
9/13/2013,91.58
9/20/2013,93.6
9/27/2013,93
10/4/2013,91.77
10/11/2013,93.95
10/18/2013,96.03
10/25/2013,97.11
11/1/2013,99.21
11/8/2013,97.55
11/15/2013,98.56
11/22/2013,96.29
11/29/2013,96.89
12/6/2013,97.16
12/13/2013,94.84
12/20/2013,96.3
12/27/2013,96.28
1/3/2014,95.81
1/10/2014,97.86
1/17/2014,98.58
1/24/2014,98.12
1/31/2014,99.4
2/7/2014,100.38
2/14/2014,105.28
2/21/2014,107.7
2/28/2014,105.82
3/7/2014,105.64
3/14/2014,106.2
3/21/2014,104.84
3/28/2014,103.24
4/4/2014,102.97
4/11/2014,98.32
4/17/2014,100.61
4/25/2014,96.36
5/2/2014,96.98
5/9/2014,96.03
